word count,POS_Standardized,hebrew,transliteration,meaning,gematria ,prime factorization,,,,Is_Prime,Prime_Factor_Count,Contains_Factor_2,Contains_Factor_3,Numerical_Range,Semantic_Category
601,noun,להורג,[hotsa'a] lahoreg,execution / putting to death,238,2 × 7 × 17,2,7,17,,,,,,
1165,noun,אבא,aba,father,4,2²,2²,,,,,,,,
1252,noun,אדמה,adamah,earth / soil,1+4+40+5 = 50,2 × 5²,2,5²,,,,,,,
1354,noun,עדשים,adashim,lentil,70+4+300+10+40+10 = 434,2 × 7 × 31,2,7,31,,,,,,
1408,noun,אדמת,ademet,rubella / the land of [type],445,5 × 89,5,89,,,,,,,
740,adjective,אדום,adom,red (m.s.),45,3² × 5,3²,5,,,,,,,
1291,noun,עפר,afar,dust,70+80+200 = 350,2 * 5² * 7,2,5²,7,,,,,,
1548,noun,אפרסק,afarsek,peach,1+80+200+60+300+100 = 741,3 × 13 × 19,3,13,19,,,,,,
1339,noun,ערפל,afpel,fog,70+200+80+30 = 380,2² × 5 × 19,2²,5,19,,,,,,
1353,noun,אפונה,afunah,pea,1+80+6+50+5 = 142,2 × 71,2,71,,,,,,,
1284,noun,אגם,agam,lake,1+3+40 = 44,2² × 11,2²,11,,,,,,,
1373,noun,אגס,agas,pear,1+3+60+300 = 364,2² × 7 × 13,2²,7,13,,,,,,
718,adjective,אחדים,akhadim,few,69,3 × 23,3,23,,,,,,,
1353,noun,אחדות,akhdut,unity,423,3² × 47,3²,47,,,,,,,
674,adverb,אכן,akhen,indeed,81,3⁴,3⁴,,,,,,,,
428,adjective/adverb,אחרת,akheret,other (f.s.) / otherwise,629,17 × 37,17,37,,,,,,,
1535,noun,אחיו,akhiv,his brother,29,29,29,,,,,,,,
418,verb,עלה,ala,went up / climbed (m.s.),105,3 × 5 × 7,3,5,7,,,,,,
1297,noun,עלה,aleh,leaf,70+30+5 = 105,3 * 5 * 7,3,5,7,,,,,,
1334,noun,עלה,aleh,leaf,70+30+5 = 105,3 × 5 × 7,3,5,7,,,,,,
467,preposition,עליה,aleha,on her / about her,115,5 × 23,5,23,,,,,,,
588,preposition,עליהם,aleihem,on them / about them (m.),125,5³,5³,,,,,,,,
1554,noun,עלים,alim,leaves,200,2³ × 5²,2³,5²,,,,,,,
1368,noun,עלים,alim,leaves,70+30+10+40+10 = 160,2⁵ × 5,2⁵,5,,,,,,,
1290,verb,עלתה,alta,went up / climbed / increased / immigrated (f.s.),475,5² × 19,5²,19,,,,,,,
1244,verb,עלו,alu,went up / climbed / increased / immigrated (pl.),70+30+6 = 106,2 * 53,2,53,,,,,,,
708,noun,אלוף,aluf,champion,127,127,127,,,,,,,,
1062,verb,אמרתי,amarti,I said,651,3 × 7 × 31,3,7,31,,,,,,
950,verb,עמדה,amda,stood / was about to / endured (f.s.),119,7 × 17,7,17,,,,,,,
739,verb,עמדו,amdu,stood / were about to / endured (pl.),125,5³,5³,,,,,,,,
786,noun/preposition,עמו,amo,his people / with him,116,2² × 29,2²,29,,,,,,,
1402,adjective,עמוק,amok,deep (m.s.),186,2 × 3 × 31,2,3,31,,,,,,
1199,verb,אמרו,amru,said (pl.),247,13 × 19,13,19,,,,,,,
